# Rime user dictionary
#@/db_name	wanxiang
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	31620
#@/user_id	b05c24aa-c4d6-4bd9-842a-ee5398eb78ba
a 	啊	c=5 d=2.74676 t=31620
bèi píng 	背屏	c=2 d=1.52744 t=31620
bèi rén 	被人	c=1 d=0.733447 t=31620
bèi shā 	被杀	c=1 d=0.985111 t=31620
bèi shōu dào 	被收到	c=1 d=0.913931 t=31620
bèi suǒ 	被锁	c=1 d=0.771052 t=31620
bèi xǐ nǎo 	被洗脑	c=1 d=0.491644 t=31620
bèi zhù 	备注	c=1 d=0.582748 t=31620
bèi zì jǐ 	被自己	c=1 d=0.527293 t=31620
bì 	必	c=1 d=0.904837 t=31620
bì bèi 	必备	c=1 d=0.946485 t=31620
bì jìng 	毕竟	c=1 d=0.394554 t=31620
bì miǎn 	避免	c=7 d=1.9769 t=31620
bì rán 	必然	c=1 d=0.852144 t=31620
bì shè 	毕设	c=1 d=0.951229 t=31620
bì shèng kè 	必胜客	c=1 d=0.937067 t=31620
bì shì 	必是	c=1 d=0.97531 t=31620
bì shā jì 	必杀技	c=6 d=5.0581 t=31620
bì xū 	必须	c=1 d=0.980631 t=31620
bì xū shēng jí 	必须升级	c=1 d=0.423162 t=31620
bì xū yào 	必须要	c=2 d=1.43118 t=31620
bì yào 	必要	c=6 d=2.09419 t=31620
bì yào shí 	必要时	c=1 d=0.794534 t=31620
bì yè 	毕业	c=1 d=0.677056 t=31620
bì zhàng 	避障	c=6 d=3.31863 t=31620
bì zhōng 	必中	c=1 d=0.951229 t=31620
bì zhǐ 	壁纸	c=2 d=1.67391 t=31620
bìng 	并	c=25 d=4.72719 t=31620
bìng biāo chū 	并标出	c=1 d=0.637628 t=31620
bìng bù 	并不	c=0 d=0.0985111 t=31620
bìng bù cún zài 	并不存在	c=2 d=1.04014 t=31620
bìng bù kāi fàng 	并不开放	c=1 d=0.99005 t=31620
bìng bù zhī chí 	并不支持	c=1 d=0.67032 t=31620
bìng bú shì 	并不是	c=2 d=1.63474 t=31620
bìng bú suàn rén 	并不算人	c=1 d=0.970446 t=31620
bìng jiāng 	并将	c=1 d=0.882497 t=31620
bìng méi yǒu 	并没有	c=6 d=2.36521 t=31620
bìng qiě 	并且	c=5 d=2.47159 t=31620
bìng xíng chéng 	并形成	c=1 d=0.927743 t=31620
bìng yǐ 	并以	c=1 d=0.810584 t=31620
bó 	博	c=1 d=0.96079 t=31620
bó chē 	泊车	c=1 d=0.826959 t=31620
bó kè 	博客	c=1 d=0.99005 t=31620
bó lái 	舶来	c=0 d=0.0582748 t=31620
bó lái cí 	舶来词	c=1 d=0.585669 t=31620
bó shì 	博士	c=1 d=0.937067 t=31620
bó zhǔ 	博主	c=2 d=1.59625 t=31620
bó zi 	脖子	c=1 d=0.985111 t=31620
bù 	不	c=20 d=6.21631 t=31620
bù bǐ 	不比	c=1 d=0.509157 t=31620
bù cháng 	步长	c=1 d=0.941764 t=31620
bù chóng qǐ 	不重启	c=1 d=0.88692 t=31620
bù chā diàn 	不插电	c=1 d=0.937067 t=31620
bù chāi 	不拆	c=1 d=0.927743 t=31620
bù chāo guò 	不超过	c=1 d=0.985111 t=31620
bù chōng tū 	不冲突	c=2 d=1.2172 t=31620
bù chū mén 	不出门	c=2 d=1.88824 t=31620
bù chū xiàn 	不出现	c=1 d=0.582748 t=31620
bù cún zài 	不存在	c=1 d=0.965606 t=31620
bù duī liào 	不堆料	c=1 d=0.913931 t=31620
bù duō 	不多	c=1 d=0.873716 t=31620
bù dá biāo 	不达标	c=2 d=1.34541 t=31620
bù dā gā 	不搭嘎	c=1 d=0.99005 t=31620
bù dān wù 	不耽误	c=1 d=0.965606 t=31620
bù dāng 	不当	c=1 d=0.927743 t=31620
bù děi 	不得	c=2 d=0.90002 t=31620
bù dōu shì 	不都是	c=1 d=0.506617 t=31620
bù dǎ zhuǎn xiàng 	不打转向	c=1 d=0.99005 t=31620
bù dǒng 	不懂	c=6 d=2.63085 t=31620
bù dǒng jiù wèn 	不懂就问	c=1 d=0.882497 t=31620
bù fen 	部分	c=35 d=6.35789 t=31620
bù fáng 	不妨	c=0 d=0.0650509 t=31620
bù fáng fàng 	不妨放	c=1 d=0.65377 t=31620
bù fáng ài 	不妨碍	c=2 d=1.41715 t=31620
bù fú hé 	不符合	c=1 d=0.831104 t=31620
bù fā 	不发	c=1 d=0.96079 t=31620
bù fēn qū 	不分区	c=2 d=1.47824 t=31620
bù fēn shǒu 	不分手	c=4 d=2.80238 t=31620
bù guǎn 	不管	c=5 d=2.3848 t=31620
bù gēn shǒu 	不跟手	c=1 d=0.831104 t=31620
bù gōng bù 	不公布	c=0 d=0.0891367 t=31620
bù gǎi 	不改	c=1 d=0.729789 t=31620
bù gǎi biàn 	不改变	c=1 d=0.36788 t=31620
bù gǎn 	不敢	c=1 d=0.980199 t=31620
bù gǎn tóng shēn shòu 	不感同身受	c=1 d=0.798516 t=31620
bù gǎn xiǎng xiàng 	不敢想象	c=1 d=0.97531 t=31620
bù gǎo 	不搞	c=2 d=1.6654 t=31620
bù hán chěn 	不寒碜	c=1 d=0.99005 t=31620
bù hé 	不合	c=1 d=0.860708 t=31620
bù hé lǐ 	不合理	c=3 d=2.12571 t=31620
bù hǎo 	不好	c=4 d=2.35016 t=31620
bù hǎo kàn 	不好看	c=3 d=1.82662 t=31620
bù hǎo shǐ 	不好使	c=1 d=0.913931 t=31620
bù hǎo tīng 	不好听	c=2 d=1.79223 t=31620
bù hǎo yì si 	不好意思	c=1 d=0.543351 t=31620
bù hǎo yòng 	不好用	c=1 d=0.771052 t=31620
bù jiā 	不佳	c=1 d=0.472367 t=31620
bù jiě jué 	不解决	c=1 d=0.843665 t=31620
bù jí 	不急	c=1 d=0.852144 t=31620
bù jú 	布局	c=1 d=0.970446 t=31620
bù jǐn jǐn 	不仅仅	c=2 d=1.55083 t=31620
bù kě 	不可	c=1 d=0.955997 t=31620
bù kě yǐ 	不可以	c=1 d=0.97531 t=31620
bù kǎo lǜ 	不考虑	c=0 d=0.0647265 t=31620
bù liú xíng 	不流行	c=1 d=0.865022 t=31620
bù liǎo 	不了	c=2 d=1.72048 t=31620
bù luò fēn 	布洛芬	c=2 d=1.82376 t=31620
bù lǐ jiě 	不理解	c=1 d=0.704688 t=31620
bù mén 	部门	c=2 d=1.83662 t=31620
bù mǎn 	不满	c=1 d=0.941764 t=31620
bù mǎn zú 	不满足	c=1 d=0.289385 t=31620
bù mǐn gǎn 	不敏感	c=1 d=0.657047 t=31620
bù néng 	不能	c=16 d=5.08201 t=31620
bù néng shuō 	不能说	c=1 d=0.937067 t=31620
bù pǐ pèi 	不匹配	c=1 d=0.946485 t=31620
bù quán 	不全	c=1 d=0.860708 t=31620
bù qǔ jué 	不取决	c=1 d=0.826959 t=31620
bù rán 	不然	c=2 d=1.44089 t=31620
bù rán néng 	不然能	c=1 d=0.955997 t=31620
bù rú 	不如	c=12 d=3.76657 t=31620
bù shuō 	不说	c=2 d=1.90331 t=31620
bù shuō shì 	不说是	c=2 d=0.842267 t=31620
bù shí tái jǔ 	不识抬举	c=2 d=1.68222 t=31620
bù shēng jí 	不升级	c=1 d=0.425283 t=31620
bù shēng jí bǎn 	不升级版	c=1 d=0.985111 t=31620
bù shēng xiào 	不生效	c=3 d=1.93055 t=31620
bù shǎo 	不少	c=2 d=1.63218 t=31620
bù tuī jiàn 	不推荐	c=1 d=0.704688 t=31620
bù tào pí 	不套皮	c=1 d=0.97531 t=31620
bù tí xǐng 	不提醒	c=1 d=0.946485 t=31620
bù tóng 	不同	c=43 d=6.47835 t=31620
bù tóng bù 	不同步	c=1 d=0.891367 t=31620
bù tóng yì 	不同意	c=1 d=0.744531 t=31620
bù tǎo hǎo 	不讨好	c=1 d=0.980199 t=31620
bù wài jiē jiàn pán 	不外接键盘	c=1 d=0.895834 t=31620
bù wán zhěng 	不完整	c=1 d=0.932394 t=31620
bù wèi 	部位	c=1 d=0.923117 t=31620
bù wěn dìng 	不稳定	c=1 d=0.900325 t=31620
bù wǎn yú 	不晚于	c=1 d=0.965606 t=31620
bù wǎng qián zǒu 	不往前走	c=1 d=0.980199 t=31620
bù xià fā 	不下发	c=1 d=0.900325 t=31620
bù xiāng fú 	不相符	c=1 d=0.99005 t=31620
bù xiū gǎi 	不修改	c=1 d=0.856415 t=31620
bù xiǎng 	不想	c=2 d=1.41767 t=31620
bù xiǎng qù 	不想去	c=1 d=0.96079 t=31620
bù xiǎng xiǎng 	不想想	c=1 d=0.860708 t=31620
bù xiǎng yào 	不想要	c=1 d=0.937067 t=31620
bù xiǎng yīng 	不响应	c=1 d=0.99005 t=31620
bù xiǎo xīn 	不小心	c=1 d=0.895834 t=31620
bù xíng 	不行	c=7 d=4.09186 t=31620
bù xū yào 	不需要	c=13 d=3.8993 t=31620
bù xǐ huan 	不喜欢	c=1 d=0.814648 t=31620
bù yí dìng 	不一定	c=2 d=1.91684 t=31620
